Supplementary_Table_Name,Fitness_Browser_OrgID
Acidovorax sp. GW101-3H11,acidovorax_3H11
Azospirillum brasilense sp. 245,azobra
Burkholderia phytofirmans PsJN,BFirm
Caulobacter crescentus NA1000,Caulo
Cupriavidus basilensis 4G11,Cup4G11
Dechlorosoma suillum PS,PS
Dinoroseobacter shibae DFL-12,Dino
Dyella japonica UNC79MFTsu3.2 IMG taxon ID 2556921674,Dyella79
Echinicola vietnamensis DSM 17526,Cola
Escherichia coli BW25113,Keio
Herbaspirillum seropedicae SmR1,HerbieS
Klebsiella michiganensis M5a1,Koxy
Marinobacter adhaerens HP15,Marino
Pedobacter sp. GW460-11-11-14-LB5,Pedo557
Phaeobacter inhibens BS107,Phaeo
Pseudomonas fluorescens FW300-N1B4,pseudo1_N1B4
Pseudomonas fluorescens FW300-N2C3,pseudo5_N2C3_1
Pseudomonas fluorescens FW300-N2E2,pseudo6_N2E2
Pseudomonas fluorescens FW300-N2E3,pseudo3_N2E3
Pseudomonas fluorescens GW456-L13,pseudo13_GW456_L13
Pseudomonas simiae WCS417,WCS417
Pseudomonas stutzeri RCH2,psRCH2
Shewanella amazonensis SB2B,SB2B
Shewanella loihica PV-4,PV4
Shewanella oneidensis MR-1,MR1
Shewanella sp. ANA-3,ANA3
Sinorhizobium meliloti 1021,Smeli
Sphingomonas koreensis DSMZ 15582,Korea
