organism,n_comparisons,TP,TN,FP,FN,accuracy,precision,recall,f1_score
Magnetospirillum magneticum AMB-1,1,1,0,0,0,1.0,1.0,1.0,1.0
Brevundimonas sp. GW460-12-10-14-LB2,1,1,0,0,0,1.0,1.0,1.0,1.0
Dickeya dianthicola ME23,1,1,0,0,0,1.0,1.0,1.0,1.0
Dickeya dianthicola 67-19,1,1,0,0,0,1.0,1.0,1.0,1.0
Dickeya dadantii 3937,1,1,0,0,0,1.0,1.0,1.0,1.0
Cupriavidus basilensis FW507-4G11,31,31,0,0,0,1.0,1.0,1.0,1.0
Dechlorosoma suillum PS,76,7,61,2,6,0.8947368421052632,0.7777777777777778,0.5384615384615384,0.6363636363636364
Marinobacter adhaerens HP15,75,8,53,5,9,0.8133333333333334,0.6153846153846154,0.47058823529411764,0.5333333333333333
Sphingomonas koreensis DSMZ 15582,75,1,58,8,8,0.7866666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
Caulobacter crescentus NA1000,75,1,57,5,12,0.7733333333333333,0.16666666666666666,0.07692307692307693,0.10526315789473684
Klebsiella michiganensis M5al,30,23,0,0,7,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018869
Pseudomonas stutzeri RCH2,75,16,39,5,15,0.7333333333333333,0.7619047619047619,0.5161290322580645,0.6153846153846153
Pedobacter sp. GW460-11-11-14-LB5,77,4,52,10,11,0.7272727272727273,0.2857142857142857,0.26666666666666666,0.2758620689655172
Herbaspirillum seropedicae SmR1,76,15,40,2,19,0.7236842105263158,0.8823529411764706,0.4411764705882353,0.5882352941176471
Acidovorax sp. GW101-3H11,75,9,45,6,15,0.72,0.6,0.375,0.4615384615384615
Dinoroseobacter shibae DFL-12,75,8,46,8,13,0.72,0.5,0.38095238095238093,0.4324324324324324
Azospirillum brasilense Sp245,14,10,0,0,4,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333
Shewanella amazonensis SB2B,75,11,42,8,14,0.7066666666666667,0.5789473684210527,0.44,0.5
Shewanella sp. ANA-3,75,11,42,9,13,0.7066666666666667,0.55,0.4583333333333333,0.5
Shewanella loihica PV-4,75,6,46,14,9,0.6933333333333334,0.3,0.4,0.34285714285714286
Escherichia coli BW25113,75,28,24,18,5,0.6933333333333334,0.6086956521739131,0.8484848484848485,0.7088607594936709
Shewanella oneidensis MR-1,75,6,45,14,10,0.68,0.3,0.375,0.33333333333333326
Pseudomonas fluorescens FW300-N2E3,76,25,22,5,24,0.618421052631579,0.8333333333333334,0.5102040816326531,0.6329113924050633
Pseudomonas fluorescens FW300-N2E2,75,15,29,9,22,0.5866666666666667,0.625,0.40540540540540543,0.4918032786885246
Burkholderia phytofirmans PsJN,81,16,31,7,27,0.5802469135802469,0.6956521739130435,0.37209302325581395,0.48484848484848486
Pseudomonas fluorescens GW456-L13,75,18,25,7,25,0.5733333333333334,0.72,0.4186046511627907,0.5294117647058824
Sinorhizobium meliloti 1021,75,9,34,4,28,0.5733333333333334,0.6923076923076923,0.24324324324324326,0.36000000000000004
Pseudomonas fluorescens FW300-N2C3,75,21,20,8,26,0.5466666666666666,0.7241379310344828,0.44680851063829785,0.5526315789473684
Pseudomonas fluorescens FW300-N1B4,75,20,21,8,26,0.5466666666666666,0.7142857142857143,0.43478260869565216,0.5405405405405405
Pseudomonas simiae WCS417,76,24,15,8,29,0.5131578947368421,0.75,0.4528301886792453,0.5647058823529413
Desulfovibrio vulgaris Miyazaki F,4,2,0,0,2,0.5,1.0,0.5,0.6666666666666666
Dyella japonica UNC79MFTsu3.2,7,3,0,0,4,0.42857142857142855,1.0,0.42857142857142855,0.6
Paraburkholderia graminis OAS925,53,22,0,0,31,0.41509433962264153,1.0,0.41509433962264153,0.5866666666666668
Rhodanobacter denitrificans FW104-10B01,10,4,0,0,6,0.4,1.0,0.4,0.5714285714285715
Phaeobacter inhibens DSM 17395,30,12,0,0,18,0.4,1.0,0.4,0.5714285714285715
Variovorax sp. OAS795,41,14,0,0,27,0.34146341463414637,1.0,0.34146341463414637,0.5090909090909091
Lysobacter sp. OAE881,13,4,0,0,9,0.3076923076923077,1.0,0.3076923076923077,0.47058823529411764
Paraburkholderia bryophila 376MFSha3.1,14,4,0,0,10,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444445
Phocaeicola vulgatus CL09T03C04,4,1,0,0,3,0.25,1.0,0.25,0.4
"Echinicola vietnamensis KMM 6221, DSM 17526",12,3,0,0,9,0.25,1.0,0.25,0.4
Bifidobacterium breve UCC2003,9,2,0,0,7,0.2222222222222222,1.0,0.2222222222222222,0.3636363636363636
Pseudomonas putida KT2440,46,9,0,0,37,0.1956521739130435,1.0,0.1956521739130435,0.32727272727272727
Ralstonia sp. UNC404CL21Col,15,2,0,0,13,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882
Bacteroides thetaiotaomicron VPI-5482,20,2,0,0,18,0.1,1.0,0.1,0.18181818181818182
